CSS stands for...........;A. Cascade style sheets;B. Color and style sheets;C. Cascading style sheets;D. None of the above;C. Cascading style sheets
Which of the following is the correct syntax for referring the external style sheet ?;A. <style src = example.css>;"B. <style src = ""example.css"" >";C. <stylesheet> example.css </stylesheet>;"D. <link rel=""stylesheet"" type=""text/css"" href=""example.css"">";"D. <link rel=""stylesheet"" type=""text/css"" href=""example.css"">"
The property in CSS used to change the background color of an element is.............;A. Bgcolor;B. Color;C.background-color;D. All of the above;C.background-color
 The property in CSS used to change the text color of an element is..........;A. Bgcolor;B.color;C.background-color;D. All of the above;B.color
 The CSS property used to control the element's font-size is...........;A. text-style;B.text-size;C.font-size;D. None of the above;C.font-size
The HTML attribute used to define the inline styles is..........;A. Style;B.styles;C.class;D. None of the above;A. Style
The HTML attribute used to define the internal stylesheet is..............;A. <style>;B.style;C.<link>;D. <script>;A. <style>
 Which of the following CSS property is used to set the background image of an element ?;A. background-attachment;B.background-image;C.background-color;D. None of the above;B.background-image
Which of the following is the correct syntax to make the background-color of all paragraph elements to yellow ?;"A. p {background-color : yellow;}";"B.p {background-color : #yellow;}";"C.all {background-color : yellow;}";"D. all p {background-color : #yellow;}";"A. p {background-color : yellow;}"
Which of the following is the correct syntax to display the hyperlinks without any underline ?;"A. a {text-decoration : underline;}";"B.a {decoration : no-underline;}";"C.a {text-decoration : none;}";D. None of the above;"C.a {text-decoration : none;}"
